,Trial,BPM,GestureSize,TimeDiffRegionOneToPlane,TimeDiffRegionTwoToPlane,TimeEndRegionOne,TimeEndRegionTwo,TimeStartRegionOne,TimeStartRegionTwo,TimeDifferenceBetweenCollisions
18,19.0,80.0,S,0.32999999999999996,0.15000000000000002,0.4,0.58,0.06,0.42,0.0
19,20.0,80.0,S,0.35000000000000003,0.15000000000000002,0.46,0.66,0.12,0.5,75.0
20,21.0,80.0,S,0.26999999999999996,0.13,0.44,0.58,0.18,0.48,93.75
21,22.0,80.0,S,0.24999999999999994,0.10999999999999999,0.46,0.6,0.18,0.48,93.75
22,23.0,80.0,S,0.26999999999999996,0.13,0.44,0.58,0.16,0.46,90.90909090909092
23,24.0,80.0,S,0.25,0.13,0.5,0.62,0.16,0.52,85.71428571428572
24,25.0,80.0,S,0.24999999999999994,0.13,0.46,0.58,0.16,0.48,90.90909090909092
25,26.0,80.0,S,0.27,0.10999999999999999,0.4,0.56,0.14,0.44,93.75
26,27.0,80.0,S,0.26999999999999996,0.13,0.46,0.6,0.16,0.48,90.9090909090909
27,28.0,80.0,S,0.26999999999999996,0.13,0.44,0.58,0.18,0.48,90.90909090909092
28,29.0,80.0,S,0.27,0.10999999999999999,0.38,0.54,0.12,0.44,93.75
29,30.0,80.0,S,0.33,0.15000000000000002,0.46,0.64,0.18,0.5,83.33333333333333
30,31.0,80.0,S,0.22999999999999993,0.10999999999999999,0.46,0.58,0.18,0.48,93.75000000000001
31,32.0,80.0,S,0.26999999999999996,0.15000000000000002,0.46,0.58,0.12,0.48,81.08108108108108
32,33.0,80.0,S,0.22999999999999998,0.10999999999999999,0.48,0.6,0.18,0.5,96.7741935483871
33,34.0,80.0,S,0.33,0.13,0.46,0.66,0.22,0.52,88.23529411764706
34,35.0,80.0,S,0.24999999999999994,0.10999999999999999,0.46,0.6,0.16,0.5,90.90909090909092
35,36.0,80.0,S,0.27,0.08999999999999997,0.38,0.56,0.12,0.44,93.75
36,37.0,80.0,S,0.24999999999999994,0.10999999999999999,0.44,0.58,0.14,0.46,88.23529411764707
37,38.0,80.0,S,0.22999999999999998,0.13,0.5,0.6,0.2,0.52,93.75
38,39.0,80.0,S,0.25,0.10999999999999999,0.48,0.62,0.18,0.5,90.9090909090909
39,40.0,80.0,S,0.21000000000000002,0.10999999999999999,0.44,0.54,0.16,0.46,96.7741935483871
40,1.0,100.0,S,0.24999999999999994,0.10999999999999999,0.34,0.48,0.08,0.38,100.0
41,2.0,100.0,S,0.26999999999999996,0.10999999999999999,0.42,0.58,0.14,0.44,90.90909090909092
42,3.0,100.0,S,0.31,0.10999999999999999,0.32,0.52,0.08,0.36,93.75
43,5.0,100.0,S,0.25000000000000006,0.11000000000000004,0.32,0.46,0.02,0.34,0.0
44,6.0,100.0,S,0.25,0.13,0.48,0.6,0.16,0.5,85.71428571428572
45,7.0,100.0,S,0.31000000000000005,0.10999999999999999,0.36,0.56,0.12,0.38,90.9090909090909
46,8.0,100.0,S,0.23000000000000004,0.09000000000000002,0.32,0.46,0.08,0.34,0.0
47,9.0,100.0,S,0.25,0.10999999999999999,0.4,0.54,0.1,0.42,0.0
48,10.0,100.0,S,0.25,0.10999999999999999,0.38,0.52,0.1,0.4,96.7741935483871
49,11.0,100.0,S,0.26999999999999996,0.10999999999999999,0.34,0.5,0.08,0.38,0.0
50,12.0,100.0,S,0.24999999999999994,0.08999999999999997,0.34,0.5,0.08,0.38,0.0
51,13.0,100.0,S,0.25,0.10999999999999999,0.36,0.5,0.1,0.4,0.0
52,14.0,100.0,S,0.24999999999999994,0.1299999999999999,0.44,0.56,0.1,0.46,90.90909090909092
53,15.0,100.0,S,0.25,0.10999999999999999,0.38,0.52,0.12,0.4,93.75
54,16.0,100.0,S,0.22999999999999998,0.10999999999999999,0.38,0.5,0.1,0.4,0.0
55,17.0,100.0,S,0.25,0.10999999999999999,0.38,0.52,0.12,0.42,93.75
56,18.0,100.0,S,0.20999999999999996,0.08999999999999997,0.38,0.5,0.1,0.4,103.44827586206897
57,19.0,100.0,S,0.26999999999999996,0.13,0.34,0.48,0.1,0.38,96.7741935483871
58,20.0,100.0,S,0.21000000000000002,0.08999999999999997,0.44,0.56,0.18,0.48,99.99999999999999
59,21.0,100.0,S,0.27,0.13,0.38,0.52,0.14,0.42,99.99999999999999
60,22.0,100.0,S,0.26999999999999996,0.10999999999999999,0.44,0.6,0.18,0.48,88.23529411764707
61,23.0,100.0,S,0.26999999999999996,0.10999999999999999,0.44,0.6,0.16,0.46,90.90909090909092
62,24.0,100.0,S,0.25,0.13,0.4,0.52,0.12,0.42,93.75
63,25.0,100.0,S,0.21000000000000002,0.09000000000000008,0.46,0.58,0.16,0.48,93.75
64,26.0,100.0,S,0.26999999999999996,0.10999999999999999,0.42,0.58,0.12,0.46,88.23529411764707
65,27.0,100.0,S,0.22999999999999998,0.10999999999999999,0.52,0.64,0.22,0.54,88.23529411764706
66,28.0,100.0,S,0.31,0.13,0.46,0.64,0.18,0.5,85.71428571428571
67,29.0,100.0,S,0.22999999999999993,0.10999999999999999,0.46,0.58,0.16,0.48,88.23529411764707
68,30.0,100.0,S,0.21000000000000002,0.08999999999999997,0.44,0.56,0.16,0.46,96.7741935483871
69,31.0,100.0,S,0.22999999999999998,0.08999999999999997,0.4,0.54,0.1,0.42,93.75
70,32.0,100.0,S,0.25,0.10999999999999999,0.38,0.52,0.1,0.42,93.75
71,33.0,100.0,S,0.19,0.08999999999999997,0.44,0.54,0.08,0.46,93.75
72,34.0,100.0,S,0.25,0.10999999999999999,0.36,0.5,0.08,0.38,96.7741935483871
73,35.0,100.0,S,0.22999999999999998,0.10999999999999999,0.4,0.52,0.1,0.42,0.0
74,36.0,100.0,S,0.23000000000000004,0.09000000000000008,0.44,0.58,0.18,0.48,96.77419354838707
75,37.0,100.0,S,0.25,0.10999999999999999,0.4,0.54,0.18,0.44,103.44827586206895
76,38.0,100.0,S,0.21000000000000002,0.09000000000000008,0.46,0.58,0.16,0.48,96.77419354838707
77,39.0,100.0,S,0.23000000000000004,0.08999999999999997,0.42,0.56,0.14,0.44,96.7741935483871
78,40.0,100.0,S,0.22999999999999998,0.10999999999999999,0.38,0.5,0.1,0.4,100.0
79,1.0,120.0,S,0.21000000000000002,0.11000000000000004,0.32,0.42,0.1,0.36,111.1111111111111
80,2.0,120.0,S,0.20999999999999996,0.08999999999999997,0.28,0.4,0.08,0.32,0.0
81,3.0,120.0,S,0.21000000000000002,0.09000000000000002,0.34,0.46,0.14,0.38,111.1111111111111
82,4.0,120.0,S,0.22999999999999998,0.09000000000000002,0.28,0.42,0.1,0.32,0.0
83,5.0,120.0,S,0.22999999999999998,0.08999999999999997,0.2,0.34,0.02,0.28,0.0
84,6.0,120.0,S,0.15000000000000002,0.050000000000000044,0.38,0.48,0.12,0.4,111.1111111111111
85,7.0,120.0,S,0.21000000000000008,0.07000000000000006,0.36,0.5,0.16,0.4,115.38461538461539
86,8.0,120.0,S,0.21000000000000008,0.11000000000000004,0.36,0.46,0.1,0.38,103.44827586206895
87,9.0,120.0,S,0.15000000000000002,0.07,0.3,0.38,0.04,0.32,0.0
88,10.0,120.0,S,0.27,0.09000000000000002,0.28,0.46,0.08,0.34,0.0
89,11.0,120.0,S,0.21000000000000002,0.09000000000000002,0.34,0.46,0.08,0.36,107.14285714285714
90,12.0,120.0,S,0.20999999999999996,0.08999999999999997,0.38,0.5,0.14,0.4,107.14285714285715
91,13.0,120.0,S,0.19000000000000006,0.09000000000000008,0.38,0.48,0.14,0.4,115.38461538461539
92,14.0,120.0,S,0.19000000000000006,0.09000000000000002,0.36,0.46,0.1,0.38,107.14285714285714
93,15.0,120.0,S,0.15000000000000002,0.050000000000000044,0.4,0.5,0.16,0.42,120.0
94,16.0,120.0,S,0.23000000000000004,0.09000000000000008,0.34,0.48,0.16,0.36,115.38461538461539
95,17.0,120.0,S,0.23000000000000004,0.09000000000000008,0.34,0.48,0.1,0.38,0.0
96,18.0,120.0,S,0.22999999999999998,0.08999999999999997,0.38,0.52,0.12,0.4,96.7741935483871
97,19.0,120.0,S,0.21000000000000002,0.11000000000000004,0.32,0.42,0.08,0.34,111.1111111111111
98,20.0,120.0,S,0.23000000000000004,0.07000000000000006,0.34,0.5,0.1,0.36,103.44827586206895
99,21.0,120.0,S,0.22000000000000003,0.09999999999999998,0.42,0.54,0.16,0.44,105.26315789473684
100,22.0,120.0,S,0.21000000000000008,0.09000000000000008,0.36,0.48,0.12,0.38,103.44827586206895
101,23.0,120.0,S,0.24999999999999994,0.10999999999999999,0.34,0.48,0.08,0.36,100.0
102,24.0,120.0,S,0.25,0.10999999999999999,0.36,0.5,0.12,0.4,100.0
103,25.0,120.0,S,0.29,0.10999999999999999,0.3,0.48,0.1,0.34,100.0
104,26.0,120.0,S,0.19000000000000006,0.09000000000000002,0.36,0.46,0.1,0.38,111.1111111111111
105,27.0,120.0,S,0.22999999999999998,0.10999999999999999,0.28,0.4,0.08,0.32,0.0
106,28.0,120.0,S,0.30000000000000004,0.12000000000000005,0.26,0.44,0.02,0.3,0.0
107,29.0,120.0,S,0.22999999999999998,0.10999999999999999,0.28,0.4,0.02,0.3,0.0
108,30.0,120.0,S,0.23000000000000004,0.09000000000000002,0.3,0.44,0.06,0.34,111.1111111111111
109,31.0,120.0,S,0.20999999999999996,0.07,0.28,0.42,0.1,0.32,0.0
110,32.0,120.0,S,0.22999999999999998,0.09000000000000002,0.28,0.42,0.1,0.32,0.0
111,33.0,120.0,S,0.18999999999999995,0.08999999999999997,0.28,0.38,0.04,0.3,0.0
112,34.0,120.0,S,0.21000000000000002,0.11000000000000004,0.32,0.42,0.08,0.36,0.0
113,36.0,120.0,S,0.21000000000000008,0.09000000000000008,0.36,0.48,0.12,0.38,111.1111111111111
114,37.0,120.0,S,0.23,0.09000000000000002,0.22,0.36,0.06,0.28,0.0
115,38.0,120.0,S,0.19000000000000006,0.09000000000000008,0.38,0.48,0.1,0.4,103.44827586206895
116,39.0,120.0,S,0.17000000000000004,0.07000000000000006,0.38,0.48,0.1,0.4,107.14285714285714
117,40.0,120.0,S,0.19,0.08999999999999997,0.42,0.52,0.16,0.44,107.14285714285714
118,1.0,80.0,M,0.39,0.15000000000000002,0.5,0.74,0.22,0.56,78.94736842105263
119,2.0,80.0,M,0.32999999999999996,0.13,0.5,0.7,0.2,0.52,83.33333333333334
120,3.0,80.0,M,0.31000000000000005,0.13,0.5,0.68,0.16,0.52,78.94736842105263
121,4.0,80.0,M,0.35,0.10999999999999999,0.48,0.72,0.22,0.52,81.08108108108108
122,5.0,80.0,M,0.37000000000000005,0.13,0.44,0.68,0.18,0.46,81.08108108108107
123,6.0,80.0,M,0.35000000000000003,0.10999999999999999,0.44,0.68,0.16,0.46,81.08108108108108
124,7.0,80.0,M,0.31000000000000005,0.1100000000000001,0.5,0.7,0.16,0.52,76.92307692307692
125,8.0,80.0,M,0.4099999999999999,0.16999999999999993,0.54,0.78,0.26,0.6,75.0
126,9.0,80.0,M,0.33000000000000007,0.15000000000000002,0.48,0.66,0.14,0.5,81.08108108108107
127,10.0,80.0,M,0.27,0.13,0.54,0.68,0.18,0.56,83.33333333333333
128,11.0,80.0,M,0.30999999999999994,0.16999999999999993,0.54,0.68,0.2,0.56,76.92307692307692
129,12.0,80.0,M,0.31000000000000005,0.13,0.5,0.68,0.14,0.52,76.92307692307692
130,13.0,80.0,M,0.30999999999999994,0.15000000000000002,0.56,0.72,0.2,0.58,76.92307692307692
131,14.0,80.0,M,0.41000000000000003,0.17000000000000004,0.48,0.72,0.18,0.52,75.0
132,15.0,80.0,M,0.27,0.13,0.62,0.76,0.26,0.64,81.08108108108108
133,16.0,80.0,M,0.37,0.15000000000000002,0.56,0.78,0.22,0.58,73.17073170731707
134,17.0,80.0,M,0.36999999999999994,0.10999999999999999,0.46,0.72,0.18,0.48,81.08108108108108
135,18.0,80.0,M,0.31000000000000005,0.10999999999999999,0.58,0.78,0.24,0.6,76.92307692307692
136,19.0,80.0,M,0.35,0.13,0.52,0.74,0.24,0.56,76.92307692307692
137,20.0,80.0,M,0.31000000000000005,0.13,0.58,0.76,0.22,0.6,76.92307692307692
138,21.0,80.0,M,0.27,0.13,0.4,0.54,0.12,0.42,88.23529411764706
139,22.0,80.0,M,0.25,0.10999999999999999,0.5,0.64,0.2,0.52,85.71428571428572
140,23.0,80.0,M,0.24999999999999994,0.10999999999999999,0.46,0.6,0.14,0.5,93.75
141,24.0,80.0,M,0.26999999999999996,0.13,0.46,0.6,0.1,0.48,81.08108108108108
142,25.0,80.0,M,0.24999999999999994,0.10999999999999999,0.46,0.6,0.16,0.48,90.90909090909092
143,26.0,80.0,M,0.32999999999999996,0.10999999999999999,0.36,0.58,0.1,0.38,85.71428571428572
144,27.0,80.0,M,0.30999999999999994,0.10999999999999999,0.4,0.6,0.16,0.42,90.90909090909092
145,28.0,80.0,M,0.27,0.10999999999999999,0.48,0.64,0.18,0.5,83.33333333333334
146,29.0,80.0,M,0.24999999999999994,0.10999999999999999,0.46,0.6,0.18,0.48,93.75
147,30.0,80.0,M,0.22999999999999998,0.10999999999999999,0.48,0.6,0.14,0.5,88.23529411764707
148,31.0,80.0,M,0.22999999999999998,0.10999999999999999,0.38,0.5,0.12,0.4,100.0
149,32.0,80.0,M,0.27,0.10999999999999999,0.38,0.54,0.1,0.42,90.9090909090909
150,33.0,80.0,M,0.30999999999999994,0.10999999999999999,0.38,0.58,0.14,0.4,90.90909090909092
151,34.0,80.0,M,0.26999999999999996,0.08999999999999997,0.46,0.64,0.2,0.5,93.75
152,35.0,80.0,M,0.25,0.10999999999999999,0.52,0.66,0.22,0.56,90.9090909090909
153,36.0,80.0,M,0.24999999999999994,0.10999999999999999,0.44,0.58,0.18,0.48,93.75000000000001
154,37.0,80.0,M,0.26999999999999996,0.13,0.44,0.58,0.16,0.48,93.75
155,38.0,80.0,M,0.24999999999999994,0.08999999999999997,0.46,0.62,0.16,0.5,88.23529411764707
156,39.0,80.0,M,0.25,0.13,0.48,0.6,0.14,0.5,85.71428571428572
157,40.0,80.0,M,0.27,0.13,0.5,0.64,0.2,0.52,83.33333333333334
158,1.0,100.0,M,0.29,0.10999999999999999,0.42,0.6,0.14,0.46,88.23529411764707
159,2.0,100.0,M,0.30999999999999994,0.10999999999999999,0.38,0.58,0.12,0.44,88.23529411764707
160,3.0,100.0,M,0.25,0.10999999999999999,0.4,0.54,0.12,0.42,93.75
161,4.0,100.0,M,0.33,0.10999999999999999,0.44,0.66,0.24,0.46,93.75
162,5.0,100.0,M,0.27,0.10999999999999999,0.38,0.54,0.12,0.4,93.75
163,6.0,100.0,M,0.29,0.08999999999999997,0.46,0.66,0.22,0.52,93.75
164,7.0,100.0,M,0.29,0.10999999999999999,0.46,0.64,0.2,0.48,90.9090909090909
165,8.0,100.0,M,0.27,0.07000000000000006,0.28,0.48,0.04,0.32,0.0
166,9.0,100.0,M,0.25,0.10999999999999999,0.52,0.66,0.24,0.54,88.23529411764706
167,10.0,100.0,M,0.29,0.10999999999999999,0.34,0.52,0.1,0.38,93.75
168,11.0,100.0,M,0.25,0.10999999999999999,0.54,0.68,0.2,0.56,85.71428571428571
169,12.0,100.0,M,0.25,0.10999999999999999,0.36,0.5,0.08,0.38,0.0
170,13.0,100.0,M,0.24999999999999994,0.13,0.46,0.58,0.18,0.48,93.75
171,14.0,100.0,M,0.26999999999999996,0.10999999999999999,0.42,0.58,0.12,0.46,90.90909090909092
172,15.0,100.0,M,0.22999999999999993,0.08999999999999997,0.46,0.6,0.18,0.5,96.7741935483871
173,16.0,100.0,M,0.27,0.13,0.36,0.5,0.1,0.38,93.75
174,17.0,100.0,M,0.24999999999999994,0.10999999999999999,0.44,0.58,0.18,0.46,96.7741935483871
175,18.0,100.0,M,0.25,0.13,0.4,0.52,0.1,0.42,93.75
176,19.0,100.0,M,0.26999999999999996,0.10999999999999999,0.44,0.6,0.14,0.46,88.23529411764707
177,20.0,100.0,M,0.25,0.08999999999999997,0.38,0.54,0.18,0.44,100.0
178,21.0,100.0,M,0.30999999999999994,0.10999999999999999,0.4,0.6,0.16,0.46,96.7741935483871
179,22.0,100.0,M,0.27,0.10999999999999999,0.5,0.66,0.22,0.52,88.23529411764706
180,23.0,100.0,M,0.31,0.10999999999999999,0.46,0.66,0.2,0.5,90.9090909090909
181,24.0,100.0,M,0.22999999999999993,0.10999999999999999,0.46,0.58,0.18,0.48,93.75000000000001
182,25.0,100.0,M,0.31,0.10999999999999999,0.42,0.62,0.14,0.46,85.71428571428572
183,26.0,100.0,M,0.22999999999999993,0.08999999999999997,0.46,0.6,0.1,0.48,88.23529411764707
184,27.0,100.0,M,0.27,0.10999999999999999,0.5,0.66,0.18,0.54,85.71428571428571
185,28.0,100.0,M,0.27,0.13,0.48,0.62,0.18,0.5,88.23529411764706
186,29.0,100.0,M,0.33,0.13,0.46,0.66,0.18,0.5,83.33333333333333
187,30.0,100.0,M,0.31,0.10999999999999999,0.44,0.64,0.16,0.46,85.71428571428572
188,31.0,100.0,M,0.26999999999999996,0.08999999999999997,0.46,0.64,0.18,0.5,88.23529411764707
189,32.0,100.0,M,0.26999999999999996,0.08999999999999997,0.46,0.64,0.22,0.5,93.75
190,33.0,100.0,M,0.27,0.10999999999999999,0.48,0.64,0.2,0.5,90.9090909090909
191,34.0,100.0,M,0.22999999999999998,0.10999999999999999,0.5,0.62,0.16,0.52,85.71428571428572
192,35.0,100.0,M,0.26999999999999996,0.10999999999999999,0.46,0.62,0.16,0.48,88.23529411764707
193,36.0,100.0,M,0.27,0.10999999999999999,0.5,0.66,0.2,0.54,88.23529411764706
194,37.0,100.0,M,0.30999999999999994,0.10999999999999999,0.38,0.58,0.14,0.4,88.23529411764707
195,38.0,100.0,M,0.30999999999999994,0.10999999999999999,0.4,0.6,0.14,0.46,88.23529411764707
196,39.0,100.0,M,0.26999999999999996,0.10999999999999999,0.42,0.58,0.12,0.44,85.71428571428572
197,40.0,100.0,M,0.27,0.08999999999999997,0.38,0.56,0.12,0.42,93.75
198,1.0,120.0,M,0.29000000000000004,0.09000000000000002,0.26,0.46,0.06,0.28,0.0
199,2.0,120.0,M,0.20999999999999996,0.08999999999999997,0.26,0.38,0.06,0.28,0.0
200,3.0,120.0,M,0.22999999999999998,0.08999999999999997,0.36,0.5,0.12,0.38,103.44827586206897
201,4.0,120.0,M,0.22999999999999998,0.10999999999999999,0.38,0.5,0.12,0.4,100.0
202,5.0,120.0,M,0.20999999999999996,0.08999999999999997,0.26,0.38,0.02,0.28,0.0
203,6.0,120.0,M,0.17000000000000004,0.09000000000000002,0.38,0.46,0.12,0.4,107.14285714285714
204,7.0,120.0,M,0.20999999999999996,0.06999999999999995,0.4,0.54,0.16,0.42,107.14285714285714
205,8.0,120.0,M,0.21000000000000008,0.09000000000000008,0.36,0.48,0.1,0.38,107.14285714285714
206,9.0,120.0,M,0.22999999999999998,0.10999999999999999,0.4,0.52,0.14,0.42,107.14285714285714
207,10.0,120.0,M,0.17000000000000004,0.07000000000000006,0.4,0.5,0.12,0.42,107.14285714285714
208,11.0,120.0,M,0.25,0.11000000000000004,0.28,0.42,0.02,0.3,0.0
209,12.0,120.0,M,0.25000000000000006,0.07000000000000006,0.3,0.48,0.1,0.34,0.0
210,13.0,120.0,M,0.21000000000000002,0.09000000000000002,0.34,0.46,0.06,0.36,0.0
211,14.0,120.0,M,0.22999999999999998,0.08999999999999997,0.36,0.5,0.12,0.4,100.0
212,15.0,120.0,M,0.27,0.07,0.26,0.46,0.06,0.28,0.0
213,16.0,120.0,M,0.23000000000000004,0.09000000000000008,0.34,0.48,0.1,0.38,103.44827586206895
214,17.0,120.0,M,0.25,0.09000000000000002,0.28,0.44,0.08,0.3,111.1111111111111
215,18.0,120.0,M,0.21000000000000002,0.07,0.32,0.46,0.08,0.34,0.0
216,19.0,120.0,M,0.25,0.07,0.28,0.46,0.08,0.3,111.1111111111111
217,20.0,120.0,M,0.18999999999999995,0.08999999999999997,0.4,0.5,0.12,0.42,107.14285714285715
218,21.0,120.0,M,0.22999999999999993,0.10999999999999999,0.46,0.58,0.2,0.48,96.7741935483871
219,22.0,120.0,M,0.27,0.10999999999999999,0.38,0.54,0.16,0.44,96.7741935483871
220,23.0,120.0,M,0.25000000000000006,0.10999999999999999,0.42,0.56,0.2,0.46,99.99999999999999
221,24.0,120.0,M,0.22999999999999998,0.10999999999999999,0.4,0.52,0.14,0.42,100.0
222,25.0,120.0,M,0.22999999999999998,0.08999999999999997,0.4,0.54,0.16,0.42,111.1111111111111
223,26.0,120.0,M,0.18999999999999995,0.08999999999999997,0.4,0.5,0.14,0.42,100.0
224,27.0,120.0,M,0.18999999999999995,0.06999999999999995,0.4,0.52,0.16,0.42,107.14285714285715
225,28.0,120.0,M,0.18999999999999995,0.08999999999999997,0.4,0.5,0.14,0.42,115.38461538461539
226,29.0,120.0,M,0.17000000000000004,0.07000000000000006,0.38,0.48,0.1,0.4,111.1111111111111
227,30.0,120.0,M,0.19000000000000006,0.07000000000000006,0.38,0.5,0.14,0.4,111.1111111111111
228,31.0,120.0,M,0.20999999999999996,0.10999999999999999,0.38,0.48,0.14,0.4,111.1111111111111
229,32.0,120.0,M,0.17000000000000004,0.07000000000000006,0.38,0.48,0.12,0.4,107.14285714285714
230,33.0,120.0,M,0.19000000000000006,0.09000000000000002,0.36,0.46,0.12,0.38,107.14285714285714
231,34.0,120.0,M,0.19,0.07,0.34,0.46,0.1,0.36,0.0
232,35.0,120.0,M,0.20999999999999996,0.10999999999999999,0.38,0.48,0.14,0.4,107.14285714285715
233,36.0,120.0,M,0.20999999999999996,0.10999999999999999,0.38,0.48,0.14,0.4,103.44827586206897
234,37.0,120.0,M,0.25000000000000006,0.11000000000000004,0.3,0.44,0.1,0.34,107.14285714285714
235,38.0,120.0,M,0.19000000000000006,0.07000000000000006,0.36,0.48,0.12,0.38,107.14285714285714
236,39.0,120.0,M,0.19000000000000006,0.11000000000000004,0.36,0.44,0.1,0.4,107.14285714285714
237,40.0,120.0,M,0.17000000000000004,0.07000000000000006,0.4,0.5,0.12,0.42,103.44827586206895
238,1.0,80.0,L,0.31000000000000005,0.1100000000000001,0.5,0.7,0.2,0.54,85.71428571428571
239,2.0,80.0,L,0.37,0.13,0.58,0.82,0.28,0.64,76.92307692307692
240,3.0,80.0,L,0.41000000000000003,0.13,0.58,0.86,0.28,0.6,71.42857142857143
241,4.0,80.0,L,0.30999999999999994,0.10999999999999999,0.64,0.84,0.26,0.66,75.0
242,5.0,80.0,L,0.37,0.13,0.66,0.9,0.3,0.68,71.42857142857142
243,6.0,80.0,L,0.41000000000000003,0.17000000000000004,0.64,0.88,0.28,0.68,69.76744186046511
244,7.0,80.0,L,0.35,0.13,0.66,0.88,0.3,0.68,71.42857142857142
245,8.0,80.0,L,0.43000000000000005,0.13,0.58,0.88,0.28,0.6,69.76744186046511
246,9.0,80.0,L,0.31000000000000005,0.1100000000000001,0.76,0.96,0.4,0.78,75.0
247,10.0,80.0,L,0.35,0.10999999999999999,0.62,0.86,0.28,0.66,73.17073170731707
248,11.0,80.0,L,0.4099999999999999,0.10999999999999999,0.56,0.86,0.26,0.58,75.0
249,12.0,80.0,L,0.31000000000000005,0.1100000000000001,0.74,0.94,0.36,0.76,73.17073170731707
250,13.0,80.0,L,0.39,0.13,0.58,0.84,0.28,0.64,75.0
251,14.0,80.0,L,0.37,0.13,0.52,0.76,0.18,0.56,73.17073170731707
252,15.0,80.0,L,0.35,0.13,0.6,0.82,0.3,0.64,75.0
253,16.0,80.0,L,0.3500000000000001,0.1100000000000001,0.58,0.82,0.28,0.62,81.08108108108108
254,17.0,80.0,L,0.31000000000000005,0.10999999999999999,0.7,0.9,0.32,0.72,75.0
255,18.0,80.0,L,0.37,0.13,0.54,0.78,0.2,0.6,73.17073170731707
256,19.0,80.0,L,0.31000000000000005,0.1100000000000001,0.62,0.82,0.26,0.66,73.17073170731707
257,20.0,80.0,L,0.35,0.10999999999999999,0.56,0.8,0.26,0.62,76.92307692307692
258,21.0,80.0,L,0.25,0.10999999999999999,0.52,0.66,0.2,0.56,88.23529411764706
259,22.0,80.0,L,0.25,0.10999999999999999,0.6,0.74,0.3,0.62,90.90909090909092
260,23.0,80.0,L,0.32999999999999996,0.10999999999999999,0.5,0.72,0.2,0.54,81.08108108108108
261,24.0,80.0,L,0.25,0.1100000000000001,0.56,0.7,0.2,0.58,83.33333333333333
262,25.0,80.0,L,0.35,0.13,0.4,0.62,0.16,0.42,85.71428571428572
263,26.0,80.0,L,0.31,0.13,0.46,0.64,0.18,0.48,85.71428571428571
264,27.0,80.0,L,0.26999999999999996,0.13,0.46,0.6,0.16,0.48,88.23529411764707
265,28.0,80.0,L,0.25,0.10999999999999999,0.5,0.64,0.16,0.52,90.9090909090909
266,29.0,80.0,L,0.30999999999999994,0.08999999999999997,0.38,0.6,0.14,0.4,88.23529411764707
267,30.0,80.0,L,0.25,0.10999999999999999,0.5,0.64,0.16,0.54,88.23529411764706
268,31.0,80.0,L,0.25,0.08999999999999997,0.48,0.64,0.18,0.5,85.71428571428572
269,32.0,80.0,L,0.25,0.08999999999999997,0.4,0.56,0.14,0.44,93.75
270,33.0,80.0,L,0.30999999999999994,0.10999999999999999,0.4,0.6,0.12,0.44,85.71428571428572
271,34.0,80.0,L,0.30999999999999994,0.08999999999999997,0.38,0.6,0.14,0.4,90.90909090909092
272,35.0,80.0,L,0.25,0.10999999999999999,0.4,0.54,0.12,0.42,93.75
273,36.0,80.0,L,0.25,0.10999999999999999,0.5,0.64,0.16,0.52,85.71428571428572
274,37.0,80.0,L,0.31,0.08999999999999997,0.44,0.66,0.2,0.46,88.23529411764706
